policy,K,N,two_rooms,rep_seed,episode_id,success,steps,questions_asked,regret,team_cost
ask_or_act,3,7,False,4,9,True,6,0,1.0,6.0
ask_or_act,3,7,False,4,10,True,10,0,5.0,10.0
ask_or_act,3,7,False,4,11,True,7,0,1.0,7.0
ask_or_act,3,7,False,4,12,True,5,0,1.0,5.0
ask_or_act,3,7,False,4,13,True,11,0,2.0,11.0
ask_or_act,3,7,False,4,14,True,3,0,0.0,3.0
ask_or_act,3,7,False,4,15,True,4,1,1.5,4.5
ask_or_act,3,7,False,4,16,True,6,0,4.0,6.0
ask_or_act,3,7,False,4,17,True,5,1,1.5,5.5
ask_or_act,3,7,False,4,18,True,8,0,3.0,8.0
ask_or_act,3,7,False,4,19,True,3,0,0.0,3.0
never_ask,3,7,False,0,0,True,3,0,0.0,3.0
never_ask,3,7,False,0,1,True,3,0,0.0,3.0
never_ask,3,7,False,0,2,True,4,0,0.0,4.0
never_ask,3,7,False,0,3,True,8,0,3.0,8.0
never_ask,3,7,False,0,4,True,3,0,0.0,3.0
never_ask,3,7,False,0,5,True,7,0,3.0,7.0
never_ask,3,7,False,0,6,True,4,0,0.0,4.0
never_ask,3,7,False,0,7,True,5,0,0.0,5.0
never_ask,3,7,False,0,8,True,5,0,0.0,5.0
never_ask,3,7,False,0,9,True,5,0,0.0,5.0
never_ask,3,7,False,0,10,True,4,0,0.0,4.0
never_ask,3,7,False,0,11,True,3,0,0.0,3.0
never_ask,3,7,False,0,12,True,6,0,3.0,6.0
never_ask,3,7,False,0,13,True,4,0,2.0,4.0
never_ask,3,7,False,0,14,True,6,0,1.0,6.0
never_ask,3,7,False,0,15,True,2,0,0.0,2.0
never_ask,3,7,False,0,16,True,4,0,2.0,4.0
never_ask,3,7,False,0,17,True,6,0,2.0,6.0
never_ask,3,7,False,0,18,True,7,0,1.0,7.0
never_ask,3,7,False,0,19,True,8,0,5.0,8.0
never_ask,3,7,False,1,0,True,3,0,0.0,3.0
never_ask,3,7,False,1,1,False,7,0,5.0,7.0
never_ask,3,7,False,1,2,True,11,0,3.0,11.0
never_ask,3,7,False,1,3,True,11,0,5.0,11.0
never_ask,3,7,False,1,4,True,8,0,3.0,8.0
never_ask,3,7,False,1,5,True,7,0,1.0,7.0
never_ask,3,7,False,1,6,True,6,0,4.0,6.0
never_ask,3,7,False,1,7,True,4,0,0.0,4.0
never_ask,3,7,False,1,8,False,12,0,5.0,12.0
never_ask,3,7,False,1,9,True,4,0,2.0,4.0
never_ask,3,7,False,1,10,True,4,0,1.0,4.0
never_ask,3,7,False,1,11,True,12,0,5.0,12.0
never_ask,3,7,False,1,12,True,8,0,2.0,8.0
never_ask,3,7,False,1,13,True,6,0,1.0,6.0
never_ask,3,7,False,1,14,True,2,0,0.0,2.0
never_ask,3,7,False,1,15,True,4,0,2.0,4.0
never_ask,3,7,False,1,16,True,6,0,0.0,6.0
never_ask,3,7,False,1,17,True,8,0,2.0,8.0
never_ask,3,7,False,1,18,False,8,0,5.0,8.0
never_ask,3,7,False,1,19,True,3,0,0.0,3.0
never_ask,3,7,False,2,0,True,4,0,0.0,4.0
never_ask,3,7,False,2,1,True,5,0,2.0,5.0
never_ask,3,7,False,2,2,True,8,0,2.0,8.0
never_ask,3,7,False,2,3,True,8,0,1.0,8.0
never_ask,3,7,False,2,4,True,8,0,2.0,8.0
never_ask,3,7,False,2,5,False,11,0,5.0,11.0
never_ask,3,7,False,2,6,True,6,0,1.0,6.0
never_ask,3,7,False,2,7,True,3,0,0.0,3.0
never_ask,3,7,False,2,8,False,12,0,5.0,12.0
